Game,Platform,Record,Link
Devil May Cry 2,PS2,XBL,https://www.trueachievements.com/game/Devil-May-Cry-HD-Collection-Xbox-360/achievements?gamerid=1570957
Devil May Cry 3,PS2,None,
Devil May Cry 4,PS2,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Diablo III: Reaper of Souls - Ultimate Evil Edition,PS4,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Dig Dug,ARC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Dirge of Cerberus,PS2,None,
Disgaea 2 PC,PS2,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Disgaea 3: Absence of Detention,Vita,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Disgaea 4: A Promise Revisited,Vita,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Disgaea PC,PS2,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DLC Quest,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DoDonPachi Resurrection,ARC,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Dome Keeper,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Donkey Kong,NES,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Doom,DOS,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DOOM,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Dragon Ball GT: Final Bout,PS1,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Dragon Ball XenoVerse,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
DRAGON BALL XENOVERSE 2,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Dragon Ball Z Budokai 2,PS2,None,
Dragon Ball Z Budokai 3,PS2,None,
Dragon Ball Z: Budokai,PS2,Retro,https://retroachievements.org/user/EvaPilot1/progress?page%5Bnumber%5D=1&filter%5Bstatus%5D=awarded
Drakengard 3,PS3,PSN,https://www.truetrophies.com/gamer/EvaPilot1/games
Dream Tactics,PC,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Duke Nukem 3D,DOS,Steam,https://truesteamachievements.com/gamer/EvaPilot1/games
Dungeon Defenders,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
Dynasty Warriors: Gundam,360,XBL,https://www.trueachievements.com/gamer/EvaPilot1/games
